,0,1,2,3,4,5
172,3D-OH,,"4.60, br s","4.56, br s","4.56, br s",
173,4D,"87.2, CH","2.94, dd (8.6, 9.0)","2.95, dd (8.8, 8.8)","2.95, dd (8.8, 8.8)",
174,5D,"69.7, CH","3.26, m","3.28, m","3.27, m",
175,6D,"17.9, CH3","1.23, d (6.1)","1.24, d (6.2)","1.24, d (6.1)",
176,"sugar E, β-d-olivose",,,,,
177,1E,"100.2, CH","4.59, br d (9.8)","4.47, dd (9.8, 1.4)","4.47, dd (9.2, 1.7)",
178,2E,"39.4, CH2","2.07, m (complex, Ha)2.44, m (complex, He)","2.01−1.89, m (complex, Ha)2. 21, ddd (12.1, 3.8, 1.5, He)","2.00−1.90, m (complex, Ha)2. 22, ddd (12.1, 3.8, 1.5, He)",
179,3E,"70.2, CH","3.55, ddd (12.2, 8.3, 5.2)","3.46, ddd (12.2, 8.3, 5.2)","3.46, ddd (12.2, 8.3, 5.2)",
180,3E-OH,,"4.96, d (4.4 Hz)","3.62, br s","3.61, br s",
181,4E,"76.4, CH","2.77, dd (8.6, 8.6)","3.07, dd (8.8, 8.8)","3.08, dd (8.8, 8.8)",
182,4E-OH,,"5.04, br s","4. 48, br s","4. 47, br s",
183,5E,"71.9, CH","3.26, m","3.37, m","3.37, m",
184,6E,"17.8, CH3","1.17, d (6.1)","1.38, d (6.1)","1.38, d (6.1)",
185,,,,,,
186,none,,,,,
187,NA/1.5 ± 0.2,1.8 ± 0.1/2 ± 0.2,,2.1 ± 0.3/1.4 ± 0.2,,
188,,O (),R (),F (),D (),
189,NA/3.55 ± 1.1,NA/1.7 ± 0.3,NA/1.8 ± 0.4,7.6 ± 1.5/1.75 ± 0.3,,
190,,P (),Q (),,E (),
191,NA/3.55 ± 0.5,NA/3.85 ± 0.4,,"13.0 ± 2.2,/NT",,
192,,M (),W (),V (),B (),
193,7.1 ± 4.6/1.9 ± 0.5,6.9 ± 3.2/2.65 ± 0.3,6.1 ± 1.3/1.5 ± 0.5,4.25 ± 0.8/1.8 ± 0.2,,
194,,T (),U (),S (),A (),
195,NA/1.85 ± 0.4,2.1 ± 0.1/7.3 ± 2.5,6.7 ± 1.0/1.5 ± 0.3,2.2 ± 0.1/2.0 ± 0.1,,
